step,loss_function,target_value,elapsed_time
0,1.22512e+02,4.67497e+01,0
100,1.07265e+02,4.75327e+01,40
200,9.42094e+01,4.82700e+01,49
300,8.30247e+01,4.89734e+01,57
400,7.39754e+01,4.96289e+01,66
500,6.61851e+01,5.02523e+01,73
600,5.91964e+01,5.08428e+01,80
700,5.31521e+01,5.14228e+01,89
800,4.80317e+01,5.19619e+01,98
900,4.35929e+01,5.24707e+01,105
1000,3.99382e+01,5.29465e+01,113
1100,3.68946e+01,5.33921e+01,121
1200,3.44525e+01,5.37992e+01,129
1300,3.22395e+01,5.41921e+01,136
1400,3.05487e+01,5.45384e+01,143
1500,2.91201e+01,5.48764e+01,152
1600,2.78577e+01,5.51795e+01,162
1700,2.70754e+01,5.54314e+01,170
1800,2.64136e+01,5.56741e+01,178
1900,2.59177e+01,5.58758e+01,186
2000,2.54083e+01,5.60726e+01,195
2100,2.50293e+01,5.62325e+01,203
2200,2.47324e+01,5.63778e+01,211
2300,2.44764e+01,5.65455e+01,220
2400,2.43420e+01,5.66409e+01,228
2500,2.41787e+01,5.67088e+01,238
2600,2.42258e+01,5.67961e+01,246
2700,2.41099e+01,5.68555e+01,254
2800,2.39952e+01,5.69168e+01,263
2900,2.40053e+01,5.69359e+01,270
3000,2.39587e+01,5.69670e+01,277
3100,2.39828e+01,5.70277e+01,284
3200,2.40991e+01,5.70215e+01,291
3300,2.41033e+01,5.70173e+01,297
3400,2.41102e+01,5.70290e+01,304
3500,2.41713e+01,5.70562e+01,311
3600,2.41015e+01,5.71003e+01,318
3700,2.40689e+01,5.70660e+01,325
3800,2.40267e+01,5.70546e+01,332
3900,2.39375e+01,5.70517e+01,339
4000,2.39001e+01,5.70819e+01,346
4100,2.38523e+01,5.70718e+01,353
4200,2.39288e+01,5.70675e+01,359
4300,2.38864e+01,5.71111e+01,366
4400,2.40679e+01,5.70955e+01,373
4500,2.40954e+01,5.71171e+01,380
4600,2.40528e+01,5.71224e+01,387
4700,2.40877e+01,5.71007e+01,394
4800,2.40703e+01,5.70668e+01,401
4900,2.40477e+01,5.70496e+01,408
5000,2.40805e+01,5.70593e+01,414
5100,2.40213e+01,5.70649e+01,421
5200,2.40055e+01,5.70150e+01,428
5300,2.39602e+01,5.70638e+01,435
5400,2.38471e+01,5.70135e+01,442
5500,2.38609e+01,5.70227e+01,449
5600,2.39316e+01,5.70104e+01,455
5700,2.38204e+01,5.70319e+01,462
5800,2.37099e+01,5.70521e+01,469
5900,2.36060e+01,5.70217e+01,476
6000,2.36629e+01,5.70498e+01,483
