step,loss_function,target_value,elapsed_time
0,1.54426e+01,4.84225e-01,0
100,4.24824e-01,7.49145e-01,13
200,4.33566e-01,7.91510e-01,17
300,4.04959e-01,8.51840e-01,20
400,3.94327e-01,9.26712e-01,23
500,3.71220e-01,1.01256e+00,26
600,3.62266e-01,1.10925e+00,30
700,3.00509e-01,1.21162e+00,33
800,3.00218e-01,1.32879e+00,36
900,3.25903e-01,1.44778e+00,40
1000,3.99405e-01,1.57020e+00,43
1100,4.58761e-01,1.69577e+00,47
1200,2.83410e-01,1.81736e+00,50
1300,1.76276e-01,1.94950e+00,53
1400,1.50291e-01,2.07204e+00,57
1500,1.41802e-01,2.19017e+00,60
1600,1.42195e-01,2.30420e+00,64
1700,1.17779e-01,2.40459e+00,67
1800,1.01434e-01,2.51094e+00,71
1900,9.66533e-02,2.60139e+00,75
2000,7.96496e-02,2.69367e+00,78
