step,loss_function,target_value,elapsed_time
0,7.99811e-02,4.14772e-01,0
100,5.86440e-02,3.66440e-01,14
200,4.23424e-02,3.22369e-01,18
300,3.02608e-02,2.82373e-01,21
400,2.13531e-02,2.46461e-01,25
500,1.50072e-02,2.14328e-01,28
600,1.02400e-02,1.85596e-01,31
700,6.82933e-03,1.60438e-01,35
800,4.43299e-03,1.38693e-01,38
900,2.84853e-03,1.20301e-01,42
1000,1.81298e-03,1.04873e-01,45
1100,1.16131e-03,9.21245e-02,48
1200,7.61577e-04,8.19657e-02,52
1300,5.29559e-04,7.39906e-02,55
1400,4.03584e-04,6.79625e-02,59
1500,3.33332e-04,6.33694e-02,62
1600,2.96086e-04,6.00167e-02,65
1700,2.76511e-04,5.76148e-02,68
1800,2.61434e-04,5.59686e-02,72
1900,2.56949e-04,5.48674e-02,76
2000,2.50563e-04,5.41227e-02,79
2100,2.48201e-04,5.34771e-02,83
2200,2.46043e-04,5.33378e-02,86
2300,2.42107e-04,5.31151e-02,91
2400,2.39298e-04,5.28858e-02,95
2500,2.31935e-04,5.29144e-02,99
2600,2.28579e-04,5.30216e-02,103
2700,2.23320e-04,5.28685e-02,107
2800,2.22585e-04,5.28599e-02,112
2900,2.25897e-04,5.26719e-02,116
3000,2.23037e-04,5.27076e-02,120
3100,2.16259e-04,5.30295e-02,124
3200,2.14110e-04,5.28812e-02,127
3300,2.07856e-04,5.29882e-02,130
3400,2.02797e-04,5.28203e-02,134
3500,1.99539e-04,5.27450e-02,137
3600,1.90385e-04,5.28815e-02,140
3700,1.91458e-04,5.29404e-02,144
3800,1.86144e-04,5.30488e-02,147
3900,1.81588e-04,5.29024e-02,150
4000,1.73431e-04,5.29271e-02,154
