step,loss_function,target_value,elapsed_time
0,2.13215e+02,4.27574e+01,0
100,1.89665e+02,4.35506e+01,28
200,1.68860e+02,4.43206e+01,35
300,1.49885e+02,4.50594e+01,42
400,1.32645e+02,4.57751e+01,48
500,1.17713e+02,4.64606e+01,55
600,1.04813e+02,4.71114e+01,63
700,9.36794e+01,4.77216e+01,70
800,8.42239e+01,4.83144e+01,76
900,7.60445e+01,4.88708e+01,84
1000,6.88806e+01,4.94032e+01,91
1100,6.24768e+01,4.99114e+01,98
1200,5.69369e+01,5.03989e+01,105
1300,5.20859e+01,5.08673e+01,111
1400,4.78784e+01,5.13174e+01,118
1500,4.40203e+01,5.17568e+01,125
1600,4.06623e+01,5.21847e+01,132
1700,3.75297e+01,5.26040e+01,139
1800,3.49121e+01,5.29902e+01,146
1900,3.27015e+01,5.33614e+01,152
2000,3.07002e+01,5.37152e+01,159
2100,2.91730e+01,5.40386e+01,166
2200,2.78925e+01,5.43421e+01,173
2300,2.68044e+01,5.46298e+01,180
2400,2.57844e+01,5.49090e+01,186
2500,2.51102e+01,5.51657e+01,194
2600,2.45173e+01,5.54001e+01,200
2700,2.40434e+01,5.56126e+01,207
2800,2.36955e+01,5.57986e+01,214
2900,2.33217e+01,5.59752e+01,221
3000,2.31566e+01,5.61190e+01,228
3100,2.30255e+01,5.62569e+01,235
3200,2.29524e+01,5.63815e+01,242
3300,2.29662e+01,5.65164e+01,248
3400,2.29713e+01,5.65942e+01,255
3500,2.28852e+01,5.66925e+01,262
3600,2.28855e+01,5.67696e+01,269
3700,2.28641e+01,5.68197e+01,276
3800,2.28190e+01,5.68751e+01,283
3900,2.28347e+01,5.69228e+01,290
4000,2.28524e+01,5.69455e+01,297
4100,2.29837e+01,5.69722e+01,304
4200,2.28635e+01,5.69930e+01,311
4300,2.29305e+01,5.70038e+01,318
4400,2.28591e+01,5.70175e+01,325
4500,2.27402e+01,5.70119e+01,332
4600,2.28717e+01,5.70183e+01,339
4700,2.28153e+01,5.69860e+01,346
4800,2.28258e+01,5.70305e+01,352
4900,2.27376e+01,5.70078e+01,363
5000,2.28605e+01,5.70593e+01,371
5100,2.27829e+01,5.70438e+01,380
5200,2.28138e+01,5.70709e+01,388
5300,2.27802e+01,5.70824e+01,395
5400,2.27505e+01,5.70945e+01,403
5500,2.26606e+01,5.70478e+01,410
5600,2.26857e+01,5.70320e+01,417
5700,2.26148e+01,5.70128e+01,425
5800,2.26057e+01,5.69623e+01,432
5900,2.25866e+01,5.69912e+01,439
6000,2.25374e+01,5.70265e+01,446
