step,loss_function,target_value,elapsed_time
0,1.31710e+01,9.93852e-01,0
100,6.72406e+00,1.93614e+00,14
200,3.08386e+00,2.66902e+00,18
300,1.93187e+00,3.15474e+00,21
400,1.25000e+00,3.53938e+00,25
500,6.92207e-01,3.87958e+00,28
600,2.98398e-01,4.16963e+00,32
700,9.69890e-02,4.38020e+00,35
800,3.66743e-02,4.50607e+00,39
900,2.61657e-02,4.56260e+00,43
1000,2.28206e-02,4.58701e+00,47
1100,2.28311e-02,4.59319e+00,50
1200,2.26981e-02,4.59792e+00,54
1300,2.26407e-02,4.59820e+00,58
1400,2.25861e-02,4.60115e+00,62
1500,2.18814e-02,4.60108e+00,65
1600,2.26393e-02,4.59970e+00,69
1700,2.23472e-02,4.60222e+00,73
1800,2.23218e-02,4.59919e+00,77
1900,2.18913e-02,4.60032e+00,81
2000,2.20154e-02,4.60225e+00,85
