step,loss_function,target_value,elapsed_time
0,1.48316e+01,5.21955e-01,0
100,2.97522e-01,7.45451e-01,14
200,2.88994e-01,7.79623e-01,17
300,2.80582e-01,8.24300e-01,21
400,2.69500e-01,8.79223e-01,24
500,2.49691e-01,9.41789e-01,27
600,2.40058e-01,1.00869e+00,30
700,4.84050e-01,1.08282e+00,34
800,4.17196e-01,1.15260e+00,37
900,1.78079e-01,1.22439e+00,40
1000,1.46714e-01,1.29446e+00,43
1100,1.24531e-01,1.35875e+00,47
1200,1.01002e-01,1.41384e+00,50
1300,9.25740e-02,1.46781e+00,53
1400,8.57842e-02,1.51787e+00,57
1500,8.08671e-02,1.56784e+00,60
1600,7.44735e-02,1.61580e+00,63
1700,7.03695e-02,1.65993e+00,66
1800,6.64302e-02,1.71177e+00,70
1900,6.44834e-02,1.75729e+00,73
2000,5.26824e-02,1.79957e+00,76
