step,loss_function,target_value,elapsed_time
0,1.91152e+01,1.39159e-01,0
100,7.91187e-01,5.20227e-01,15
200,7.75111e-01,5.84797e-01,18
300,7.64486e-01,6.72125e-01,22
400,7.50666e-01,7.74826e-01,25
500,7.37938e-01,8.95189e-01,28
600,7.13513e-01,1.02989e+00,32
700,6.84274e-01,1.18077e+00,35
800,6.43725e-01,1.34845e+00,39
900,6.15225e-01,1.53071e+00,42
1000,5.45176e-01,1.71783e+00,45
1100,4.95926e-01,1.92059e+00,49
1200,4.54004e-01,2.13240e+00,52
1300,4.14789e-01,2.36153e+00,55
1400,3.73217e-01,2.60595e+00,59
1500,3.11276e-01,2.85625e+00,62
1600,2.73270e-01,3.12176e+00,65
1700,2.06387e-01,3.37690e+00,69
1800,1.50323e-01,3.65444e+00,72
1900,1.09121e-01,3.91441e+00,75
2000,7.78417e-02,4.17131e+00,79
