step,loss_function,target_value,elapsed_time
0,5.78950e-02,3.58738e-01,0
100,4.02030e-02,3.10402e-01,14
200,2.73630e-02,2.67099e-01,18
300,1.83975e-02,2.28620e-01,22
400,1.20700e-02,1.94826e-01,25
500,7.70769e-03,1.65426e-01,29
600,4.79706e-03,1.40301e-01,32
700,2.91910e-03,1.19224e-01,36
800,1.79069e-03,1.02259e-01,39
900,1.09138e-03,8.85720e-02,43
1000,7.00935e-04,7.80187e-02,46
1100,4.97351e-04,7.01339e-02,50
1200,3.81697e-04,6.42508e-02,53
1300,3.27092e-04,6.02773e-02,57
1400,2.94555e-04,5.75380e-02,60
1500,2.80284e-04,5.57360e-02,64
1600,2.72859e-04,5.45452e-02,67
1700,2.65921e-04,5.36022e-02,71
1800,2.59230e-04,5.30965e-02,74
1900,2.55653e-04,5.30219e-02,78
2000,2.54413e-04,5.28656e-02,81
2100,2.47702e-04,5.30088e-02,85
2200,2.43359e-04,5.29874e-02,88
2300,2.40918e-04,5.30717e-02,92
2400,2.35917e-04,5.28356e-02,95
2500,2.32241e-04,5.28587e-02,99
2600,2.30280e-04,5.27496e-02,103
2700,2.26095e-04,5.29381e-02,106
2800,2.18661e-04,5.26336e-02,110
2900,2.18830e-04,5.26066e-02,113
3000,2.13890e-04,5.30012e-02,117
3100,2.07041e-04,5.28001e-02,120
3200,2.01668e-04,5.30730e-02,124
3300,1.97483e-04,5.31383e-02,127
3400,1.91977e-04,5.30550e-02,131
3500,1.86055e-04,5.31823e-02,135
3600,1.83726e-04,5.31354e-02,138
3700,1.76901e-04,5.29020e-02,142
3800,1.73180e-04,5.30638e-02,147
3900,1.67316e-04,5.31573e-02,152
4000,1.59551e-04,5.29513e-02,157
