step,loss_function,target_value,elapsed_time
0,1.34536e+01,6.26136e-01,0
100,2.30445e-01,8.14390e-01,13
200,2.24576e-01,8.46459e-01,16
300,2.09499e-01,8.85853e-01,20
400,1.57779e-01,9.34654e-01,23
500,2.89724e-01,9.88141e-01,27
600,7.83200e-01,1.04420e+00,30
700,1.08638e-01,1.09439e+00,33
800,1.16843e-01,1.14799e+00,37
900,1.35418e-01,1.19748e+00,40
1000,1.15046e-01,1.23976e+00,44
1100,6.52519e-02,1.27657e+00,47
1200,5.63418e-02,1.31375e+00,50
1300,5.86509e-02,1.34854e+00,54
1400,5.46653e-02,1.37790e+00,57
1500,5.35080e-02,1.40968e+00,60
1600,5.06219e-02,1.44237e+00,64
1700,4.65044e-02,1.47179e+00,68
1800,5.92494e-02,1.50309e+00,71
1900,4.25287e-02,1.52902e+00,74
2000,3.98819e-02,1.55470e+00,78
