step,loss_function,target_value,elapsed_time
0,1.75429e+01,4.15719e-01,0
100,9.56640e+00,1.36644e+00,15
200,4.34345e+00,2.12502e+00,18
300,2.88151e+00,2.60846e+00,22
400,2.20033e+00,2.96676e+00,25
500,1.58694e+00,3.31316e+00,29
600,9.98612e-01,3.66214e+00,33
700,5.24530e-01,3.97782e+00,36
800,2.08472e-01,4.23339e+00,40
900,6.79160e-02,4.41274e+00,44
1000,3.04066e-02,4.51305e+00,47
1100,2.32760e-02,4.56315e+00,51
1200,2.24161e-02,4.58672e+00,54
1300,2.24568e-02,4.59512e+00,58
1400,2.21151e-02,4.59988e+00,61
1500,2.19415e-02,4.59944e+00,65
1600,2.17929e-02,4.59913e+00,68
1700,2.21746e-02,4.60216e+00,73
1800,2.25271e-02,4.59987e+00,76
1900,2.17100e-02,4.59873e+00,80
2000,2.19313e-02,4.60027e+00,84
