step,loss_function,target_value,elapsed_time
0,1.09473e-01,4.61890e-01,0
100,8.25927e-02,4.13251e-01,15
200,6.18500e-02,3.68728e-01,19
300,4.60307e-02,3.27911e-01,22
400,3.40406e-02,2.90738e-01,25
500,2.47550e-02,2.56865e-01,29
600,1.77819e-02,2.26181e-01,32
700,1.24909e-02,1.98676e-01,35
800,8.57922e-03,1.73988e-01,39
900,5.83311e-03,1.52415e-01,42
1000,3.86955e-03,1.33567e-01,45
1100,2.56314e-03,1.17323e-01,48
1200,1.67790e-03,1.03591e-01,52
1300,1.10808e-03,9.21366e-02,55
1400,7.40142e-04,8.27074e-02,58
1500,5.24931e-04,7.52482e-02,62
1600,4.02663e-04,6.92769e-02,65
1700,3.31434e-04,6.46468e-02,68
1800,2.91332e-04,6.11058e-02,72
1900,2.74765e-04,5.83604e-02,75
2000,2.66827e-04,5.65700e-02,78
2100,2.60074e-04,5.53230e-02,82
2200,2.53888e-04,5.43833e-02,86
2300,2.54704e-04,5.38703e-02,91
2400,2.53464e-04,5.34019e-02,94
2500,2.49629e-04,5.33924e-02,97
2600,2.48417e-04,5.32424e-02,101
2700,2.46317e-04,5.30027e-02,104
2800,2.40314e-04,5.30538e-02,107
2900,2.34406e-04,5.30303e-02,111
3000,2.32247e-04,5.28248e-02,114
3100,2.24144e-04,5.27087e-02,117
3200,2.26321e-04,5.26650e-02,120
3300,2.21597e-04,5.28853e-02,124
3400,2.17785e-04,5.28890e-02,127
3500,2.16794e-04,5.26352e-02,131
3600,2.12279e-04,5.28494e-02,134
3700,2.05002e-04,5.28538e-02,137
3800,1.99908e-04,5.28057e-02,140
3900,1.99634e-04,5.29836e-02,144
4000,1.95820e-04,5.25132e-02,147
