step,loss_function,target_value,elapsed_time
0,5.00893e+01,1.68318e+01,0
100,4.56765e+01,1.73025e+01,17
200,4.19672e+01,1.77712e+01,21
300,3.89023e+01,1.81934e+01,25
400,3.63887e+01,1.85820e+01,29
500,3.43064e+01,1.89459e+01,33
600,3.26641e+01,1.92795e+01,36
700,3.14159e+01,1.95909e+01,40
800,3.04320e+01,1.98552e+01,43
900,2.97078e+01,2.00881e+01,47
1000,2.91036e+01,2.03235e+01,50
1100,2.87254e+01,2.05066e+01,54
1200,2.84679e+01,2.06484e+01,57
1300,2.82100e+01,2.07946e+01,60
1400,2.80327e+01,2.09207e+01,64
1500,2.79548e+01,2.09756e+01,67
1600,2.78843e+01,2.10401e+01,71
1700,2.78824e+01,2.11472e+01,74
1800,2.79320e+01,2.11564e+01,78
1900,2.79830e+01,2.12027e+01,81
2000,2.79534e+01,2.12297e+01,84
2100,2.79235e+01,2.12253e+01,88
2200,2.78760e+01,2.12396e+01,91
2300,2.77733e+01,2.12586e+01,94
2400,2.77654e+01,2.12418e+01,98
2500,2.77715e+01,2.12549e+01,101
2600,2.77711e+01,2.12086e+01,105
2700,2.77829e+01,2.12355e+01,108
2800,2.78061e+01,2.12586e+01,112
2900,2.77807e+01,2.12566e+01,115
3000,2.77759e+01,2.12369e+01,119
3100,2.76461e+01,2.12973e+01,122
3200,2.77013e+01,2.13002e+01,125
3300,2.76445e+01,2.13017e+01,129
3400,2.76328e+01,2.12839e+01,132
3500,2.76504e+01,2.12635e+01,136
3600,2.76331e+01,2.12670e+01,139
3700,2.77625e+01,2.11740e+01,143
3800,2.78104e+01,2.11889e+01,146
3900,2.78183e+01,2.12244e+01,150
4000,2.78609e+01,2.12789e+01,153
