step,loss_function,target_value,elapsed_time
0,6.78615e+01,1.57580e+01,0
100,6.23579e+01,1.62425e+01,20
200,5.74041e+01,1.67133e+01,25
300,5.33224e+01,1.71539e+01,29
400,4.97245e+01,1.75796e+01,34
500,4.67605e+01,1.79666e+01,40
600,4.42624e+01,1.83208e+01,45
700,4.20057e+01,1.86752e+01,49
800,4.01742e+01,1.89981e+01,53
900,3.87147e+01,1.92979e+01,56
1000,3.76067e+01,1.95727e+01,60
1100,3.67357e+01,1.98043e+01,64
1200,3.60360e+01,2.00247e+01,69
1300,3.54774e+01,2.02296e+01,74
1400,3.50401e+01,2.04148e+01,79
1500,3.47359e+01,2.05726e+01,85
1600,3.45954e+01,2.06776e+01,89
1700,3.43778e+01,2.07896e+01,94
1800,3.42251e+01,2.08885e+01,99
1900,3.41682e+01,2.09638e+01,104
2000,3.40858e+01,2.10180e+01,109
2100,3.40155e+01,2.10647e+01,116
2200,3.39245e+01,2.11333e+01,122
2300,3.39202e+01,2.11615e+01,127
2400,3.39814e+01,2.11482e+01,133
2500,3.39230e+01,2.11852e+01,138
2600,3.39806e+01,2.11811e+01,143
2700,3.39601e+01,2.11968e+01,146
2800,3.39134e+01,2.12428e+01,150
2900,3.38848e+01,2.12291e+01,153
3000,3.39265e+01,2.12461e+01,157
3100,3.39047e+01,2.12649e+01,160
3200,3.37987e+01,2.12738e+01,164
3300,3.37918e+01,2.12389e+01,167
3400,3.38213e+01,2.12175e+01,170
3500,3.38544e+01,2.12439e+01,174
3600,3.38136e+01,2.13025e+01,177
3700,3.38192e+01,2.12901e+01,181
3800,3.38076e+01,2.13037e+01,185
3900,3.37761e+01,2.13218e+01,188
4000,3.35728e+01,2.13377e+01,192
