step,loss_function,target_value,elapsed_time
0,6.72343e+01,1.54576e+01,0
100,6.14333e+01,1.59431e+01,14
200,5.64770e+01,1.64096e+01,17
300,5.20737e+01,1.68584e+01,21
400,4.82786e+01,1.72833e+01,25
500,4.51747e+01,1.76775e+01,28
600,4.25714e+01,1.80490e+01,32
700,4.03204e+01,1.83980e+01,35
800,3.85120e+01,1.87281e+01,39
900,3.69916e+01,1.90267e+01,42
1000,3.56740e+01,1.93127e+01,45
1100,3.46208e+01,1.95796e+01,49
1200,3.38933e+01,1.98266e+01,52
1300,3.33164e+01,2.00252e+01,55
1400,3.27289e+01,2.02215e+01,59
1500,3.23591e+01,2.04015e+01,62
1600,3.20838e+01,2.05426e+01,66
1700,3.18867e+01,2.06799e+01,69
1800,3.17756e+01,2.08020e+01,72
1900,3.17279e+01,2.09043e+01,76
2000,3.17529e+01,2.09558e+01,79
2100,3.17907e+01,2.09976e+01,82
2200,3.16473e+01,2.10718e+01,86
2300,3.16412e+01,2.11201e+01,89
2400,3.16134e+01,2.11824e+01,93
2500,3.16721e+01,2.12074e+01,96
2600,3.16219e+01,2.12653e+01,100
2700,3.15764e+01,2.12439e+01,103
2800,3.15634e+01,2.12714e+01,107
2900,3.16409e+01,2.12985e+01,110
3000,3.15799e+01,2.12788e+01,114
3100,3.16460e+01,2.12580e+01,117
3200,3.16943e+01,2.12937e+01,120
3300,3.17050e+01,2.12963e+01,124
3400,3.16915e+01,2.12666e+01,127
3500,3.16854e+01,2.12814e+01,130
3600,3.16545e+01,2.12385e+01,134
3700,3.16380e+01,2.12319e+01,137
3800,3.16076e+01,2.12782e+01,140
3900,3.16436e+01,2.12582e+01,144
4000,3.16986e+01,2.12534e+01,147
