step,loss_function,target_value,elapsed_time
0,1.52121e+01,7.07535e-01,0
100,8.51125e+00,1.65365e+00,15
200,4.25111e+00,2.39966e+00,18
300,2.86997e+00,2.87960e+00,21
400,2.12148e+00,3.24174e+00,25
500,1.33553e+00,3.60471e+00,28
600,6.91240e-01,3.94254e+00,32
700,2.76373e-01,4.21649e+00,35
800,8.39109e-02,4.40572e+00,38
900,3.14321e-02,4.51484e+00,42
1000,2.23278e-02,4.56381e+00,45
1100,2.11881e-02,4.58697e+00,49
1200,2.13722e-02,4.59515e+00,52
1300,2.10891e-02,4.59706e+00,57
1400,2.09052e-02,4.59834e+00,60
1500,2.11535e-02,4.59904e+00,64
1600,2.02062e-02,4.59929e+00,67
1700,2.06042e-02,4.59842e+00,71
1800,2.09077e-02,4.60132e+00,74
1900,2.09656e-02,4.60020e+00,77
2000,2.10420e-02,4.60051e+00,81
