step,loss_function,target_value,elapsed_time
0,2.06470e+01,4.49804e-02,0
100,1.18058e+01,9.97060e-01,13
200,5.25744e+00,1.75448e+00,17
300,3.45217e+00,2.21585e+00,20
400,2.88327e+00,2.55972e+00,23
500,2.27309e+00,2.88677e+00,26
600,1.66081e+00,3.25481e+00,30
700,1.10905e+00,3.60361e+00,33
800,5.94471e-01,3.92689e+00,36
900,2.61014e-01,4.19224e+00,40
1000,9.33154e-02,4.38389e+00,43
1100,3.73300e-02,4.49944e+00,47
1200,2.36768e-02,4.55966e+00,51
1300,2.10764e-02,4.58425e+00,55
1400,2.01207e-02,4.59483e+00,58
1500,2.02244e-02,4.59706e+00,62
1600,2.00790e-02,4.59877e+00,65
1700,1.98992e-02,4.60014e+00,68
1800,1.94712e-02,4.60077e+00,72
1900,2.02429e-02,4.59952e+00,75
2000,2.00977e-02,4.60047e+00,78
