step,loss_function,target_value,elapsed_time
0,1.05125e+02,4.76805e+01,0
100,9.19247e+01,4.84612e+01,28
200,8.08850e+01,4.91991e+01,35
300,7.18173e+01,4.98852e+01,41
400,6.42549e+01,5.05267e+01,48
500,5.74524e+01,5.11437e+01,55
600,5.18225e+01,5.17327e+01,62
700,4.70680e+01,5.22904e+01,69
800,4.31137e+01,5.28156e+01,76
900,3.96247e+01,5.33123e+01,82
1000,3.69249e+01,5.37562e+01,89
1100,3.47028e+01,5.41712e+01,96
1200,3.28645e+01,5.45625e+01,103
1300,3.14141e+01,5.49038e+01,110
1400,3.02393e+01,5.52121e+01,117
1500,2.93711e+01,5.55064e+01,123
1600,2.86694e+01,5.57555e+01,130
1700,2.81230e+01,5.59728e+01,137
1800,2.77782e+01,5.61764e+01,144
1900,2.74853e+01,5.63525e+01,151
2000,2.72828e+01,5.64747e+01,158
2100,2.70375e+01,5.65742e+01,164
2200,2.68871e+01,5.66915e+01,171
2300,2.67293e+01,5.67914e+01,178
2400,2.66984e+01,5.68729e+01,185
2500,2.67154e+01,5.69283e+01,192
2600,2.67585e+01,5.69527e+01,198
2700,2.68146e+01,5.69897e+01,205
2800,2.68517e+01,5.70176e+01,212
2900,2.68460e+01,5.70139e+01,219
3000,2.69564e+01,5.70170e+01,226
3100,2.69898e+01,5.70089e+01,233
3200,2.70278e+01,5.69757e+01,240
3300,2.70266e+01,5.69942e+01,247
3400,2.69411e+01,5.70355e+01,253
3500,2.70000e+01,5.70403e+01,260
3600,2.70099e+01,5.70469e+01,267
3700,2.70728e+01,5.70194e+01,274
3800,2.70127e+01,5.70214e+01,281
3900,2.69807e+01,5.70663e+01,288
4000,2.69825e+01,5.70466e+01,294
4100,2.69397e+01,5.70717e+01,301
4200,2.69720e+01,5.70381e+01,308
4300,2.69398e+01,5.70488e+01,315
4400,2.68603e+01,5.70818e+01,322
4500,2.67983e+01,5.71111e+01,329
4600,2.67965e+01,5.70877e+01,335
4700,2.68235e+01,5.70686e+01,342
4800,2.66890e+01,5.70061e+01,349
4900,2.67250e+01,5.70541e+01,356
5000,2.67440e+01,5.70217e+01,363
5100,2.66952e+01,5.70506e+01,369
5200,2.68101e+01,5.70947e+01,376
5300,2.68347e+01,5.70503e+01,383
5400,2.68246e+01,5.70218e+01,390
5500,2.68051e+01,5.70740e+01,397
5600,2.66817e+01,5.69826e+01,404
5700,2.67063e+01,5.69839e+01,411
5800,2.68442e+01,5.69521e+01,417
5900,2.68830e+01,5.69694e+01,424
6000,2.69580e+01,5.70349e+01,431
