step,loss_function,target_value,elapsed_time
0,8.98665e-02,4.34122e-01,0
100,6.68793e-02,3.85704e-01,14
200,4.94136e-02,3.41643e-01,17
300,3.59982e-02,3.01225e-01,20
400,2.60095e-02,2.64677e-01,23
500,1.85224e-02,2.31722e-01,26
600,1.28895e-02,2.02089e-01,30
700,8.83548e-03,1.75918e-01,33
800,5.88888e-03,1.52983e-01,36
900,3.86690e-03,1.32982e-01,39
1000,2.49790e-03,1.15993e-01,42
1100,1.59438e-03,1.01711e-01,46
1200,1.02376e-03,8.99695e-02,49
1300,6.81888e-04,8.05905e-02,53
1400,4.77737e-04,7.31068e-02,56
1500,3.64628e-04,6.71904e-02,60
1600,3.04301e-04,6.29050e-02,64
1700,2.70638e-04,5.96748e-02,67
1800,2.55915e-04,5.74474e-02,71
1900,2.43323e-04,5.58538e-02,75
2000,2.37647e-04,5.48696e-02,78
2100,2.37662e-04,5.40597e-02,82
2200,2.36902e-04,5.35458e-02,85
2300,2.35016e-04,5.32503e-02,89
2400,2.31556e-04,5.29741e-02,92
2500,2.28230e-04,5.28387e-02,96
2600,2.24344e-04,5.28251e-02,99
2700,2.21924e-04,5.29482e-02,103
2800,2.17593e-04,5.28458e-02,106
2900,2.13425e-04,5.29429e-02,110
3000,2.12892e-04,5.31681e-02,114
3100,2.10278e-04,5.30312e-02,117
3200,2.07803e-04,5.29189e-02,121
3300,2.03112e-04,5.28431e-02,124
3400,2.01531e-04,5.27670e-02,128
3500,2.00568e-04,5.26754e-02,131
3600,1.95535e-04,5.30058e-02,135
3700,1.93030e-04,5.30041e-02,138
3800,1.80396e-04,5.29484e-02,142
3900,1.79877e-04,5.28785e-02,145
4000,1.75357e-04,5.28661e-02,149
