step,loss_function,target_value,elapsed_time
0,2.02021e+01,9.78840e-02,0
100,1.14885e+01,1.05082e+00,16
200,5.36854e+00,1.80298e+00,20
300,3.81664e+00,2.26164e+00,23
400,3.15353e+00,2.60284e+00,27
500,2.42428e+00,2.95424e+00,30
600,1.72493e+00,3.32213e+00,34
700,1.05916e+00,3.67473e+00,37
800,5.58103e-01,3.98415e+00,41
900,2.30270e-01,4.23579e+00,45
1000,7.91489e-02,4.41084e+00,49
1100,3.37805e-02,4.51438e+00,52
1200,2.45027e-02,4.56401e+00,56
1300,2.33420e-02,4.58505e+00,59
1400,2.34398e-02,4.59463e+00,62
1500,2.35259e-02,4.59783e+00,66
1600,2.35385e-02,4.59954e+00,69
1700,2.32807e-02,4.60189e+00,72
1800,2.29963e-02,4.60078e+00,76
1900,2.29623e-02,4.59888e+00,79
2000,2.29111e-02,4.59997e+00,82
