step,loss_function,target_value,elapsed_time
0,5.67013e+01,1.69495e+01,0
100,5.22714e+01,1.74465e+01,16
200,4.89526e+01,1.79076e+01,20
300,4.62505e+01,1.83265e+01,24
400,4.40141e+01,1.87197e+01,27
500,4.22143e+01,1.90885e+01,30
600,4.08513e+01,1.94287e+01,34
700,3.98622e+01,1.97068e+01,37
800,3.91465e+01,1.99781e+01,41
900,3.86373e+01,2.02129e+01,44
1000,3.82008e+01,2.04147e+01,49
1100,3.79230e+01,2.05785e+01,52
1200,3.77975e+01,2.07378e+01,57
1300,3.77355e+01,2.08476e+01,61
1400,3.76850e+01,2.09486e+01,68
1500,3.77275e+01,2.10179e+01,72
1600,3.77359e+01,2.10675e+01,77
1700,3.76928e+01,2.11155e+01,81
1800,3.78146e+01,2.12058e+01,85
1900,3.77740e+01,2.12648e+01,89
2000,3.77234e+01,2.12717e+01,94
2100,3.77152e+01,2.13057e+01,99
2200,3.77556e+01,2.13084e+01,104
2300,3.77331e+01,2.13143e+01,109
2400,3.76528e+01,2.13013e+01,113
2500,3.76749e+01,2.12832e+01,118
2600,3.76697e+01,2.12513e+01,121
2700,3.76923e+01,2.12836e+01,125
2800,3.77427e+01,2.13079e+01,129
2900,3.77407e+01,2.12873e+01,132
3000,3.77105e+01,2.12740e+01,136
3100,3.77124e+01,2.12232e+01,139
3200,3.76549e+01,2.12683e+01,143
3300,3.77358e+01,2.12327e+01,147
3400,3.76274e+01,2.12071e+01,151
3500,3.75906e+01,2.12425e+01,155
3600,3.76328e+01,2.12589e+01,158
3700,3.76059e+01,2.12785e+01,162
3800,3.75816e+01,2.12901e+01,165
3900,3.75927e+01,2.12357e+01,169
4000,3.76492e+01,2.12204e+01,172
