step,loss_function,target_value,elapsed_time
0,1.36783e+02,4.54378e+01,0
100,1.19999e+02,4.62225e+01,51
200,1.05754e+02,4.69637e+01,62
300,9.36382e+01,4.76667e+01,73
400,8.33487e+01,4.83413e+01,84
500,7.45854e+01,4.89762e+01,100
600,6.72824e+01,4.95806e+01,113
700,6.12045e+01,5.01420e+01,127
800,5.59706e+01,5.06834e+01,140
900,5.11805e+01,5.12187e+01,153
1000,4.71054e+01,5.17279e+01,166
1100,4.37309e+01,5.22137e+01,181
1200,4.09968e+01,5.26587e+01,193
1300,3.85557e+01,5.30885e+01,205
1400,3.64705e+01,5.34954e+01,218
1500,3.47629e+01,5.38740e+01,231
1600,3.35397e+01,5.42281e+01,240
1700,3.25978e+01,5.45651e+01,250
1800,3.18508e+01,5.48539e+01,259
1900,3.13154e+01,5.51431e+01,268
2000,3.09630e+01,5.53970e+01,278
2100,3.06708e+01,5.56437e+01,288
2200,3.04932e+01,5.58565e+01,297
2300,3.03840e+01,5.60192e+01,305
2400,3.03833e+01,5.61924e+01,314
2500,3.03748e+01,5.63364e+01,323
2600,3.04832e+01,5.64899e+01,332
2700,3.04565e+01,5.65799e+01,343
2800,3.05200e+01,5.66648e+01,354
2900,3.07293e+01,5.67236e+01,363
3000,3.08734e+01,5.68051e+01,372
3100,3.09024e+01,5.68795e+01,381
3200,3.08825e+01,5.69213e+01,389
3300,3.07845e+01,5.69601e+01,398
3400,3.07400e+01,5.69683e+01,407
3500,3.07666e+01,5.69763e+01,417
3600,3.08848e+01,5.70342e+01,425
3700,3.08829e+01,5.70551e+01,433
3800,3.07552e+01,5.70269e+01,441
3900,3.07159e+01,5.70007e+01,449
4000,3.08275e+01,5.70060e+01,458
4100,3.08114e+01,5.70232e+01,466
4200,3.08222e+01,5.70079e+01,475
4300,3.08536e+01,5.70205e+01,484
4400,3.08807e+01,5.70678e+01,493
4500,3.07732e+01,5.70699e+01,501
4600,3.07302e+01,5.70485e+01,510
4700,3.07233e+01,5.70335e+01,518
4800,3.06161e+01,5.70089e+01,527
4900,3.07637e+01,5.70535e+01,536
5000,3.08371e+01,5.70428e+01,545
5100,3.09767e+01,5.70959e+01,553
5200,3.08527e+01,5.70899e+01,561
5300,3.08772e+01,5.70431e+01,570
5400,3.08493e+01,5.70281e+01,578
5500,3.08645e+01,5.70460e+01,586
5600,3.08970e+01,5.70472e+01,594
5700,3.10318e+01,5.70569e+01,603
5800,3.09447e+01,5.70408e+01,614
5900,3.08851e+01,5.70038e+01,623
6000,3.07947e+01,5.70187e+01,632
